,keyword,addition
luminous josh ceiling fans -> ceiling,1,1
lumia 730 camera lens -> camera,1,1
lumia 640 xl back case cover -> case,1,1
luise philip -> luise,1,1
lucky plant -> lucky,1,1
luba blue strap watch -> blue,1,1
lripl dish tv remote -> dish,1,1
lowest redmi note 4 soft back cover -> lowest,1,1
lowest prices of shoes -> of,1,1
lowest price led tv all model -> lowest,1,1
low price of mens shoes -> mens,1,1
love ladies panties -> ladies,1,1
madame m-secret -> madame,1,1
madhav product pragati set of 10 cotton sofa cover -> cotton,1,1
love bite cushion -> bite,1,1
magic karaoke mic -> karaoke,1,1
man shoes -> man,1,1
man s red colour fprmal pants -> fprmal,1,1
man robot -> man,1,1
man cotton formal fashion pant -> fashion,1,1
man comfort shoes -> comfort,1,1
man body tattoos -> body,1,1
man black jeans 50 off -> black,1,1
mall 4 all mod-1 black grey rectangle sunglasses -> grey,1,1
mens clothing dhoti maharashtra -> clothing,1,1
malibu perfume -> malibu,1,1
male penis dol -> male,1,1
male female 2 0 usb data cable -> 0,1,1
makeup kits primer -> kits,1,1
makeup blending sponge -> blending,1,1
mahishasura mardini -> mahishasura,1,1
mahindra reva car -> mahindra,1,1
mahindra cars xuv500 -> cars,1,1
